Hudud nomi;MFYlar nomi;District_id
;;
Farg‘ona shahar;Oybek;1
Farg‘ona shahar;Ma’rifat;1
Farg‘ona shahar;Furqat;1
Farg‘ona shahar;Simtepa;1
Farg‘ona shahar;Baxor;1
Farg‘ona shahar;Navro‘z;1
Farg‘ona shahar;Mash’al;1
Farg‘ona shahar;Yoshlar;1
Farg‘ona shahar;Yangi yo‘l;1
Farg‘ona shahar;Mirzo Ulug‘bek;1
Farg‘ona shahar;Farg‘ona;1
Farg‘ona shahar;Soy bo‘yi;1
Farg‘ona shahar;S.Temur;1
Farg‘ona shahar;A.Navoiy;1
Farg‘ona shahar;Gulzor;1
Farg‘ona shahar;Do‘stlik;1
Farg‘ona shahar;Sh.Rashidov;1
Farg‘ona shahar;Beglar;1
Farg‘ona shahar;Qirguli;1
Farg‘ona shahar;Sovurbuloq;1
Farg‘ona shahar;Jo‘ydam;1
Farg‘ona shahar;Yormozor;1
Farg‘ona shahar;Ipak yo‘li;1
Farg‘ona shahar;Shodlik;1
Farg‘ona shahar;Sharshara;1
Farg‘ona shahar;Oqariq;1
Farg‘ona shahar;Shodiyona;1
Farg‘ona shahar;Tinchlik;1
Farg‘ona shahar;Mustaqillik;1
Farg‘ona shahar;Beshbola;1
Farg‘ona shahar;Xo‘jamag‘iz;1
Farg‘ona shahar;Surxtepa;1
Farg‘ona shahar;Nafosat;1
Farg‘ona shahar;Soxibkor;1
Farg‘ona shahar;Afrosiyob;1
Farg‘ona shahar;O‘rmonchilar;1
Farg‘ona shahar;Oqariqobod;1
Farg‘ona shahar;Yangisoy;1
Farg‘ona shahar;Guliston;1
Farg‘ona shahar;Bo‘ston;1
Farg‘ona shahar;Istiqlol;1
Farg‘ona shahar;Bobur;1
Farg‘ona shahar;A.Qodiriy;1
Farg‘ona shahar;Lolazor;1
Farg‘ona shahar;Al-Xorazmiy;1
Farg‘ona shahar;A.Jomiy;1
Farg‘ona shahar;O‘zbekiston;1
Farg‘ona shahar;Madadkor;1
Farg‘ona shahar;To‘qimachilar;1
Farg‘ona shahar;Zarbdor;1
Farg‘ona shahar;1-Beshbola;1
Farg‘ona shahar;Ibn Sino;1
Farg‘ona shahar;Madaniyat;1
Farg‘ona shahar;Istiqbol;1
Farg‘ona shahar;Barkamol;1
Farg‘ona shahar;Kimyogar;1
Farg‘ona shahar;Mexribonlik;1
Farg‘ona shahar;Xuvaydo;1
Farg‘ona shahar;Navboxor;1
Farg‘ona shahar;Yulduz;1
Farg‘ona shahar;Beruniy;1
Farg‘ona shahar;Tabassum;1
Farg‘ona shahar;Xamkorlik;1
Farg‘ona shahar;Muruvvat;1
Farg‘ona shahar;Al-Farg‘oniy;1
Farg‘ona shahar;Ibrat;1
Farg‘ona shahar;Nodirabegim;1
Farg‘ona shahar;Parvoz;1
Farg‘ona shahar;Iftixor;1
Farg‘ona shahar;Shakarqishloq;1
Farg‘ona shahar;O‘rta sho‘ra;1
Farg‘ona shahar;Ilg‘or;1
Farg‘ona shahar;Chek-sho‘ra;1
Qo‘qon shahar;Shaldiramoq;2
Qo‘qon shahar;Vaqf Chorsu;2
Qo‘qon shahar;To‘g‘onboshi;2
Qo‘qon shahar;Yalong‘och ota;2
Qo‘qon shahar;Yangi chorsu;2
Qo‘qon shahar;Qalandarxona;2
Qo‘qon shahar;Yog‘ bozori;2
Qo‘qon shahar;Charxini ko‘prigi;2
Qo‘qon shahar;Noib ko‘prigi;2
Qo‘qon shahar;Qaymoqli guzar;2
Qo‘qon shahar;Kalvak;2
Qo‘qon shahar;Nonvoylik guzar;2
Qo‘qon shahar;Gʻisht ko‘prik;2
Qo‘qon shahar;Gʻalchasoy;2
Qo‘qon shahar;Parpashabof;2
Qo‘qon shahar;Artizon bo‘yi;2
Qo‘qon shahar;Gʻoziyog‘lik;2
Qo‘qon shahar;Achchikko‘l;2
Qo‘qon shahar;Chorchinor;2
Qo‘qon shahar;Qipchoqariq;2
Qo‘qon shahar;Islomobod;2
Qo‘qon shahar;Qo‘sh chinor;2
Qo‘qon shahar;Aziztepa;2
Qo‘qon shahar;Galabaqqollik;2
Qo‘qon shahar;To‘xlimergan;2
Qo‘qon shahar;Nurafshon;2
Qo‘qon shahar;Urganjibog‘;2
Qo‘qon shahar;At-Termiziy;2
Qo‘qon shahar;Avg‘onbog‘;2
Qo‘qon shahar;Ashurali Zoxiriy;2
Qo‘qon shahar;O‘rmonbog‘;2
Qo‘qon shahar;Rayxon;2
Qo‘qon shahar;Mustaqillik;2
Qo‘qon shahar;Zilol;2
Qo‘qon shahar;Yangi obod;2
Qo‘qon shahar;Bo‘ston;2
Qo‘qon shahar;Shirin;2
Qo‘qon shahar;Istiqbol;2
Qo‘qon shahar;Navro‘z;2
Qo‘qon shahar;Do‘stlik;2
Qo‘qon shahar;Oltin vodiy;2
Qo‘qon shahar;Muqumiy;2
Qo‘qon shahar;Shikorbegi;2
Qo‘qon shahar;Saodat;2
Qo‘qon shahar;Uzumzor;2
Qo‘qon shahar;Turkiston;2
Qo‘qon shahar;To‘laboy;2
Qo‘qon shahar;Katta Ganjiravon;2
Qo‘qon shahar;Toshkentli-guzar;2
Qo‘qon shahar;Mo‘yi-muborak;2
Qo‘qon shahar;Mingtut;2
Qo‘qon shahar;Oydinbuloq;2
Qo‘qon shahar;Ashirqulmergan;2
Quvasoy shahar;Bunyodkor;3
Quvasoy shahar;Polmon;3
Quvasoy shahar;Soy bo‘yi;3
Quvasoy shahar;Sufon;3
Quvasoy shahar;Cho‘lpon;3
Quvasoy shahar;Xamid Olimjon;3
Quvasoy shahar;Xuvaydo;3
Quvasoy shahar;Yuqori Mo‘yan;3
Quvasoy shahar;Yangi obod;3
Quvasoy shahar;Pastki Valik;3
Quvasoy shahar;Amir Temur;3
Quvasoy shahar;Hamdo‘stlik;3
Quvasoy shahar;Arsif;3
Quvasoy shahar;Alisher Navoiy;3
